Farm ID,Year,Specie vegetale,Superficie coltivata,Ore uso macchina per ettaro
2702008010336000001,2008,Frumento duro,4.0,0.0
2702008010336000001,2009,Frumento duro,25.88,0.0
2702008010336000001,2010,Frumento duro,16.61,0.0
2702008010336000001,2011,Frumento duro,28.38,28.01
2702008010337000001,2008,Frumento duro,48.81,0.0
2702008010337000001,2009,Frumento duro,65.72,0.0
2702008010337000001,2010,Frumento duro,48.82,0.0
2702008010337000001,2011,Frumento duro,10.54,33.02
2702008010337000001,2012,Frumento duro,39.93,12.02
2702008010338000001,2008,Frumento duro,14.58,0.0
2702008010338000001,2009,Frumento duro,29.73,0.0
2702008010338000001,2010,Frumento duro,14.69,0.0
2702008010339000001,2008,Frumento duro,42.31,0.0
2702008010339000001,2009,Frumento duro,46.13,0.0
2702008010339000001,2010,Frumento duro,50.08,0.0
2702008010341000001,2008,Frumento duro,41.19,0.0
2702008010341000001,2009,Frumento duro,50.27,0.0
2702008010341000001,2010,Frumento duro,32.73,0.0
2702008010341000001,2011,Frumento duro,10.08,25.0
2702008010341000001,2012,Frumento duro,17.12,16.06
2702008010341000001,2013,Frumento duro,17.12,20.44
2702008010342000001,2008,Frumento duro,33.24,0.0
2702008010342000001,2009,Frumento duro,39.6,0.0
2702008010342000001,2010,Frumento duro,31.0,0.0
2702008010342000001,2011,Frumento duro,27.72,24.6
2702008010343000001,2008,Frumento duro,28.8,3.87
2702008010343000001,2009,Frumento duro,34.3,0.39
2702008010343000001,2010,Frumento duro,28.82,1.4
2702008010343000001,2011,Frumento duro,21.55,34.44
2702008010343000001,2012,Frumento duro,27.12,18.62
2702008010343000001,2013,Frumento duro,16.63,18.48
2702008010344000001,2008,Frumento duro,22.6,3.44
2702008010344000001,2009,Frumento duro,15.0,3.13
2702008010346000001,2008,Frumento duro,9.58,0.0
2702008010349000001,2008,Frumento duro,2.0,3.08
2702008010356000001,2008,Frumento duro,17.0,0.0
2702008010356000001,2010,Frumento duro,4.2,28.57
2702008010358000001,2008,Frumento duro,6.0,3.08
2702008010358000001,2009,Frumento duro,6.0,1.79
2702008010358000001,2010,Frumento duro,6.0,17.95
2702008010361000001,2008,Frumento duro,4.0,4.06
2702008010361000001,2015,Frumento duro,2.0,18.75
2702008010362000001,2008,Frumento duro,62.2,3.96
2702008010362000001,2009,Frumento duro,62.2,5.54
2702008010363000001,2008,Frumento duro,11.63,4.0
2702008010363000001,2009,Frumento duro,43.48,0.0
2702008010364000001,2008,Frumento duro,15.58,0.0
2702008010364000001,2009,Frumento duro,17.32,0.0
2702008010366000001,2008,Frumento duro,102.68,0.0
2702008010366000001,2009,Frumento duro,45.0,0.0
2702008010367000001,2008,Frumento duro,73.85,0.0
2702008010367000001,2009,Frumento duro,73.85,0.0
2702008010370000001,2008,Frumento duro,36.18,4.12
2702008010370000001,2009,Frumento duro,12.8,5.42
2702008010372000001,2008,Frumento duro,13.11,4.0
2702008010372000001,2009,Frumento duro,10.16,6.66
2702008010376000001,2008,Frumento duro,359.48,3.34
2702008010376000001,2009,Frumento duro,165.0,inf
2702008010376000001,2010,Frumento duro,141.58,1.38
2702008010382000001,2008,Frumento duro,14.81,0.0
2702008010382000001,2009,Frumento duro,14.84,3.5
2702008010387000001,2008,Frumento duro,9.91,4.04
2702008010388000001,2008,Frumento duro,44.19,0.0
2702008010388000001,2009,Frumento duro,37.02,0.0
2702008010391000001,2008,Frumento duro,1.8,3.08
2702008010391000001,2009,Frumento duro,2.0,1.54
2702008010391000001,2010,Frumento duro,2.0,16.28
2702008010391000001,2011,Frumento duro,2.0,33.19
2702008010391000001,2012,Frumento duro,1.53,28.88
2702008010397000001,2008,Frumento duro,8.13,15.71
2702008010409000001,2008,Frumento duro,7.6,5.67
2702008010409000001,2009,Frumento duro,12.0,3.45
2702008010412000001,2008,Frumento duro,32.68,2.82
