year,farm code,species,farm_acreage,produced_quantity,PLV,crop_acreage,hours_of_machines_ha,fert_costs,phyto_costs,energy_costs,thirdy_costs,human_costs,machinery_costs,wheat_price,Mineral_fert_area,Mineral_whole_qt_ha,Mineral_unit_cost,Mineral_distribuited_value,Mineral_nitrogen_ha,Mineral_phosphorus_ha,Mineral_potassium_ha,OrganoMineral_fert_area,OrganoMineral_whole_qt_ha,OrganoMineral_unit_cost,OrganoMineral_distribuited_value,OrganoMineral_nitrogen_ha,OrganoMineral_phosphorus_ha,OrganoMineral_potassium_ha,Other_fert_area,Other_whole_qt_ha,Other_unit_cost,Other_distribuited_value,Other_nitrogen_ha,Other_phosphorus_ha,Other_potassium_ha,Micro_Mineral_fert_area,Micro_Mineral_whole_qt_ha,Micro_Mineral_unit_cost,Micro_Mineral_distribuited_value,Micro_Mineral_nitrogen_ha,Micro_Mineral_phosphorus_ha,Micro_Mineral_potassium_ha,Herbicide_Qt Tox-0,Herbicide_Qt Tox-1,Herbicide_Qt Tox-2,Herbicide_Qt Tox-3,Herbicide_Qt Tox-4,Insecticide_Qt Tox-0,Insecticide_Qt Tox-1,Insecticide_Qt Tox-2,Insecticide_Qt Tox-3,Insecticide_Qt Tox-4,Fungicide_Qt Tox-0,Fungicide_Qt Tox-1,Fungicide_Qt Tox-2,Fungicide_Qt Tox-3,Fungicide_Qt Tox-4,crop_yield,PLV_2_Qt,phyto_costs_2_Qt,fert_costs_2_Qt,herbicide_ha,insecticide_ha,fungicide_ha,herbicide_inefficiency,insecticide_inefficiency,fungicide_inefficiency,phyto_inefficiency,N_ha,P_ha,K_ha,ferti_inefficiency,hours_of_machines_inefficiency,cluster
2016.0,2.7020080104840003e+18,durum_wheat,35.0,910.0,15927.0,16.3,10.43,1085.0,193.0,0.0,0.0,1600.0,3400.0,17.5,16.0,2.0,31.0,1085.0,55.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.828220858895705,17.502197802197802,0.212087912087912,1.1923076923076923,0.063803680981595,0.0,0.0,0.0011428571428571,0.0,0.0,0.0011428571428571,1.000031868131868,0.0,0.0,1.000031868131868,0.1868230769230769,4
2016.0,2.702008010486e+18,durum_wheat,27.8,619.0,10945.0,15.5,5.84,1116.0,174.0,0.0,1473.0,400.0,1000.0,17.68,16.0,2.0,31.0,1116.0,60.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.935483870967744,17.681744749596124,0.2810985460420032,1.802907915993538,0.0664516129032258,0.0,0.0,0.0016639741518578,0.0,0.0,0.0016639741518578,1.51218901453958,0.0,0.0,1.51218901453958,0.1462358642972536,4
2016.0,2.702008010585e+18,durum_wheat,20.85,151.0,2661.0,5.0,12.75,310.0,55.0,0.0,500.0,480.0,1000.0,17.62,5.0,2.0,31.0,310.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,17.62251655629139,0.3642384105960264,2.052980132450331,0.2,0.0,0.0,0.0066225165562913,0.0,0.0,0.0066225165562913,1.7218543046357615,0.0,0.0,1.7218543046357615,0.4221854304635761,6
2016.0,2.812008008106e+18,durum_wheat,73.38,1947.0,43808.0,33.44,20.48,2500.0,2000.0,0.0,2650.0,6800.0,9600.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,34.0,2500.0,41.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.22368421052632,22.50025680534155,1.027221366204417,1.2840267077555214,0.0308014354066985,0.0,0.0,0.0005290190035952,0.0,0.0,0.0005290190035952,0.7151728813559322,0.0,0.0,0.7151728813559322,0.3517468926553672,4
2016.0,2.812008009103e+18,durum_wheat,43.67,1040.0,25129.0,19.99,12.46,1615.0,1402.0,0.0,0.0,3992.0,3984.0,24.16,20.0,3.0,25.5,807.5,70.78,32.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.9,0.0,52.026013006503256,24.1625,1.3480769230769232,1.5528846153846154,0.0280140070035017,0.0355177588794397,0.0450225112556278,0.0005384615384615,0.0006826923076923,0.0008653846153846,0.0020865384615384,1.360473269230769,0.6264174038461539,0.0,1.986890673076923,0.2394955769230769,4
2016.0,2.812008020001e+18,durum_wheat,87.71,500.0,10500.0,12.0,11.54,1000.0,1155.0,0.0,1200.0,2400.0,1600.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,50.0,1000.0,76.67,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.666666666666664,21.0,2.31,2.0,0.1458333333333333,0.0,0.0,0.0035,0.0,0.0,0.0035,1.84008,0.48,0.48,2.8000800000000003,0.27696,0
2016.0,2.812008020009e+18,durum_wheat,47.64,1162.0,21813.0,23.23,12.48,4460.0,1438.0,0.0,0.0,4640.0,4640.0,18.77,23.0,6.0,31.0,4460.0,284.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,50.021523891519585,18.77194492254733,1.2375215146299483,3.838209982788296,0.0452001721911321,0.0,0.0396039603960396,0.0009036144578313,0.0,0.0007917383820998,0.0016953528399311,5.695348278829604,0.0,0.0,5.695348278829604,0.2494925989672977,3
2016.0,2.812008020111e+18,durum_wheat,3.94,46.0,1576.0,1.0,16.58,366.0,79.0,0.0,143.0,200.0,192.0,34.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,33.0,168.0,234.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,46.0,34.26086956521739,1.7173913043478262,7.956521739130435,1.25,0.0,0.44,0.0271739130434782,0.0,0.0095652173913043,0.0367391304347826,5.090869565217392,0.0,0.0,5.090869565217392,0.3604347826086956,7
2016.0,2.812008020112e+18,durum_wheat,177.18,,99540.0,91.38,12.5,8116.0,7175.0,0.0,0.0,18272.0,18272.0,21.0,91.0,3.0,30.0,8116.0,136.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0,51.87130663164807,21.0,1.5137130801687764,1.712236286919831,0.0109433136353687,0.0,0.0172904355438826,0.000210970464135,0.0,0.0003333333333333,0.0005443037974683,2.6253435443037976,0.0,0.0,2.6253435443037976,0.2409810126582278,0
2016.0,2.812008020117e+18,durum_wheat,12.0,229.0,4589.0,5.45,17.72,580.0,571.0,0.0,891.0,1088.0,1088.0,20.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,29.0,580.0,168.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.06,0.0,42.01834862385321,20.03930131004367,2.493449781659389,2.532751091703057,0.2642201834862385,0.0,0.7449541284403669,0.0062882096069868,0.0,0.0177292576419213,0.0240174672489082,4.017768558951965,0.0,0.0,4.017768558951965,0.4217205240174672,1
